nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0082031,tt0071877,tt0045943,tt0117631
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0117731,tt0077269,tt0100802,tt0119488
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0048728,tt0056923,tt0034248,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0051739,tt0050212,tt0041546
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0040525,tt0035103,tt0038559,tt0036723
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0077800,tt0102122,tt0074802,tt0110138
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0056923,tt0058385,tt0046250,tt0054698
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0082846,tt0063227,tt0043265,tt0032904
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0049833,tt0070723,tt0063442,tt0052618
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0040746,tt0052357,tt0053125,tt0054215
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0047437,tt0046359,tt0074958,tt0043014
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0499549,tt0120647,tt0120338,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0016332,tt0019421,tt0017925
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,director	tt0041716,tt0053946,tt0045152,tt0043278
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0048728,tt0046874,tt0046912,tt0047396
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0050105,tt0045793,tt0049408,tt0039192
nm0000040	Stanley Kubrick	1928	1999	writer,director,producer	tt0062622,tt0072684,tt0066921,tt0120663
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0047478,tt0051808,tt0089881,tt0080979
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0038369,tt0035432,tt0039056,tt0046303
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0035432,tt0038369,tt0034240,tt0034881
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0053793,tt0045793,tt0050468,tt0051036
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0070034,tt0067824,tt0068935,tt0068767
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0044081,tt0031381,tt0034272,tt0033238
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0054749,tt0076085,tt0058335,tt0060121
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0033870,tt0022100,tt0036613,tt0034583
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0085101,tt0383216,tt0054698,tt0057413
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0026778,tt0028772,tt0023027,tt0023969
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0047522,tt0053125,tt0084855,tt0056193
nm0000052	Marcello Mastroianni	1924	1996	actor,producer,soundtrack	tt0053779,tt0056801,tt0110907,tt0076085
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0048424,tt0039689,tt0056197,tt0055824
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0045810,tt0050861,tt0053291,tt0048605
nm0000055	Alfred Newman	1900	1970	music_department,composer,soundtrack	tt0065377,tt0056085,tt0434409,tt0042192
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0257044,tt0054997,tt0061512,tt0084855
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0074937,tt0057413,tt0061452,tt0052182
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0041149,tt0055277,tt0039628,tt0045061
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0074860,tt0069281,tt0077269,tt0032976
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0038109,tt0077269,tt0046250,tt0056592
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0034405,tt0042256,tt0043959,tt0051201
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0053848,tt0056585,tt0056023,tt0054692
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0049456,tt0056172,tt0074896,tt0057831
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0040506,tt0036775,tt0049833,tt0038991
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0056801,tt0063518,tt0071562,tt0068646
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043476,tt0045810,tt0043643,tt0036241
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0037884,tt0038109,tt0036775,tt0052618
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0051047,tt0056412,tt0026942,tt0049743
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0056218,tt0045793,tt0052218,tt0048347
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0040897,tt0031381,tt0034583,tt0036613
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0031679,tt0052561,tt0032904,tt0052357
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0053318,tt0051459,tt0056937,tt0061184
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0016029,tt0040369,tt0032264,tt0031580
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0035979,tt0039420,tt0037008,tt0037865
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0055031,tt0053946,tt0061735,tt0047849
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0053198,tt0075860,tt0070460,tt0055032
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0032976,tt0026138,tt0034248,tt0043014
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0056217,tt0065126,tt0031971,tt0053580
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0072281,tt0066115,tt0062708,tt0061653
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0033467,tt0038991,tt0052311,tt0040525
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0048545,tt0055614,tt0057263,tt0055471
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0048960,tt0119094,tt0045061,tt3315342
nm0000084	Gong Li	1965	\N	actress	tt0101640,tt0430357,tt0397535,tt0473444
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0074103,tt0083109,tt0079200,tt0069747
nm0000087	Elena Koreneva	1953	\N	actress,casting_director,soundtrack	tt0122969,tt5847740,tt0123138,tt7529350
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0963178,tt0119174,tt0765443,tt0117631
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0421974,tt0064297,tt0152930,tt0282552
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0063929,tt0071853,tt0095159,tt0085959
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0114746,tt1210166,tt0356910,tt2935510
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0097123,tt0091167,tt0079522,tt0075686
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0106179,tt2294189,tt0455590,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0115624,tt0267913,tt0306047,tt0426592
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt1723121,tt0279113,tt0108778,tt3442006
nm0000099	Patricia Arquette	1968	\N	actress,soundtrack,director	tt0108399,tt0412175,tt0145531,tt1065073
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0274166,tt0118689,tt0110357,tt1634122
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0097428,tt0118747,tt0087332,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0087277,tt0327056,tt0164052,tt0361127
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0181875,tt0120586,tt0115963,tt0089908
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,writer	tt0120657,tt0112851,tt1189073,tt0120746
nm0000105	Adrienne Barbeau	1945	\N	actress,soundtrack	tt0083767,tt0080749,tt0082340,tt1024648
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0151738,tt0343660,tt0120631,tt0160127
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0119488,tt0108525,tt0096895,tt0337921
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0119116,tt2872732,tt0110413,tt0100263
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0131857,tt0115285,tt0119271,tt0337851
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt3402236,tt0107616,tt0116477,tt0097499
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0395251,tt0126886,tt0091042,tt0086567
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0795421,tt0143145,tt0155267,tt0120347
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0212346,tt0111257,tt1454468,tt1041829
nm0000114	Steve Buscemi	1957	\N	actor,producer,director	tt0116282,tt0162346,tt0105236,tt4686844
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0119094,tt0117500,tt0435705,tt0113627
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0499549,tt0090605,tt0103064,tt0120338
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0117571,tt0120890,tt0134084,tt0120082
nm0000118	John Carpenter	1948	\N	soundtrack,writer,composer	tt0096256,tt0080749,tt0082340,tt0077651
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0105793,tt0275847,tt0207919,tt0111503
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0338013,tt0109040,tt0110475,tt0315327
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0086143,tt0101775,tt0083929,tt0087363
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0032553,tt0044837,tt0018773,tt0027977
nm0000123	George Clooney	1961	\N	actor,producer,director	tt0433383,tt1193138,tt1124035,tt0465538
nm0000124	Jennifer Connelly	1970	\N	actress	tt0102803,tt0180093,tt0315983,tt0268978
nm0000125	Sean Connery	1930	2020	actor,producer,soundtrack	tt0055928,tt0117500,tt0094226,tt0059800
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0102798,tt0119925,tt0099348,tt0103855
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0105121,tt0087800,tt0111686
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt1707386,tt0172495,tt0119488,tt0268978
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0092099,tt0325710,tt0120755,tt0116695
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0095159,tt0120694,tt0111503,tt1502407
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0119229,tt0098258,tt0146882,tt0450385
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0117509,tt0274558,tt1796960,tt0108872
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0104694,tt0091064,tt0116908,tt0103074
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0075314,tt0077416,tt0081398,tt0101540
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt0076489,tt0299328,tt0120591,tt4649466
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0367594,tt0449088,tt0408236,tt0325980
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0086987,tt0099656,tt0114694,tt0083170
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0407887,tt1375666,tt0120338,tt0993846
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0129387,tt0160127,tt0259711,tt0119738
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0103772,tt1291580,tt0094291,tt0093010
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0443701,tt0120902,tt0106179,tt0904208
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt1205489,tt0405159,tt0112579
nm0000143	Erika Eleniak	1969	\N	actress	tt0105690,tt0106400,tt0094761,tt0083866
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0119468,tt0107977,tt0093779,tt0387564
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0098936,tt0092240,tt0100935,tt0105046
nm0000146	Ralph Fiennes	1962	\N	actor,director,producer	tt1201607,tt2278388,tt0108052,tt0387131
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt0243155,tt1315981,tt1504320,tt2802144
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0082971,tt0118571,tt0106977,tt0090329
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0118884,tt0075314,tt0476964,tt0102926
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0116365,tt0115369,tt0088763,tt0096874
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0114369,tt1057500,tt0405159,tt0097239
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0119395,tt0100405,tt0163187,tt0299658
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0114436,tt0115736,tt0095963,tt1726669
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0117438,tt0112573,tt0104714,tt0118883
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0108147,tt0105417,tt0088939
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0107290,tt0091064,tt0116629,tt2278388
nm0000157	Linda Hamilton	1956	\N	actress	tt0103064,tt0088247,tt6450804,tt0118928
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0094737,tt0109830,tt0112384,tt0162222
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0227538,tt0410975,tt0106057,tt0120347
nm0000160	Ethan Hawke	1970	\N	actor,writer,producer	tt0139654,tt0112471,tt2209418,tt0381681
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt1615065,tt0120679,tt0119141,tt0112851
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0251160,tt0119008,tt0120885,tt0120828
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0061722,tt0095953,tt0084805,tt0064665
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0975645,tt0412080,tt0212985,tt0102926
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0112384,tt0367279,tt0088933
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0119822,tt0162222,tt0103484,tt0117998
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0105104,tt0118655,tt0230030,tt0145660
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt0110912,tt0417148,tt4154664,tt3460252
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0106977,tt0477348,tt0443272,tt2398231
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,producer	tt0119116,tt0120804,tt1220634,tt1220198
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0113277,tt0352277,tt0150377,tt0470705
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0103759,tt2278388,tt0110912,tt0105236
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0935075,tt0203009,tt0276919,tt0274558
nm0000174	Val Kilmer	1959	\N	actor,producer,soundtrack	tt0101761,tt0235737,tt0373469,tt0120053
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0111161,tt0091499,tt0324864
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0080009,tt0083722,tt0111400,tt0087884
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0113117,tt0120891,tt0106673,tt0095159
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0328589,tt0250797,tt2096673,tt0086066
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0376541,tt0134119,tt2278388,tt0346156
nm0000180	David Lean	1908	1991	editor,director,writer	tt0087892,tt0056172,tt0050212,tt0059113
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0380623,tt0103491,tt0119695,tt0098193
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt0252076,tt0120780,tt5503686,tt2126357
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0076759,tt0066434,tt0069704,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0105698,tt0089927,tt0113481,tt0093507
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0166924,tt0460829,tt0098936,tt0105665
nm0000187	Madonna	1958	\N	soundtrack,composer,music_department	tt0156841,tt0116250,tt0246460,tt0104694
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0383216,tt0093886,tt0102250,tt0079367
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1915581,tt0790636,tt0993846,tt1726669
nm0000191	Ewan McGregor	1971	\N	actor,writer,producer	tt1322269,tt0203009,tt0117951,tt2763304
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0116287,tt0088944,tt0086827,tt0158552
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0099653,tt0107211,tt0119173,tt0305357
nm0000194	Julianne Moore	1960	\N	actress,producer,soundtrack	tt0297884,tt3316960,tt0842926,tt0175880
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0362270,tt1748122,tt0128445,tt0335266
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0295178,tt0118655,tt0811138,tt0145660
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0407887,tt0071315,tt0119822,tt0073486
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt1340800,tt4555426,tt0103874,tt0468569
nm0000199	Al Pacino	1940	\N	actor,producer,soundtrack	tt0099422,tt0070666,tt0068646,tt0072890
nm0000200	Bill Paxton	1955	2017	actor,producer,writer	tt0112384,tt0090605,tt0264616,tt0117998
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0097322,tt0117247,tt0161081,tt0427327
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0139134,tt0280707,tt0120577,tt0375679
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0092005,tt0102494,tt0096018,tt0091557
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0434409,tt0376541,tt0110413,tt0947798
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0134084,tt0348150,tt0359013,tt0106677
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0102685,tt0111257,tt0133093,tt0234215
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0112642,tt0462200,tt0106220,tt0118789
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0088128,tt0088847,tt0091790,tt0095169
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0327056,tt0091225,tt0111161,tt0105151
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0100405,tt0195685,tt0376541,tt1322269
nm0000211	Mimi Rogers	1955	\N	actress,producer,soundtrack	tt0118655,tt0120738,tt0210070,tt0488085
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0120632,tt0098635,tt0108160,tt0128853
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0172493,tt0097493,tt0099487,tt0110367
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0112515,tt0091042,tt0089469,tt0111438
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0112818,tt0103074,tt0094812,tt0120686
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0088247,tt0107362,tt0216216,tt0093773
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0070379,tt0099685,tt0106226,tt0075314
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt0116209,tt1602613,tt0109831,tt0280707
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0094602,tt0105690,tt0110725,tt0242445
nm0000220	Joan Severance	1958	\N	actress,producer	tt0115696,tt0112519,tt0098282,tt0099141
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0107144,tt0108333,tt0094291,tt0369179
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0078111,tt0080116,tt0080453,tt0805570
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0087538,tt0120053,tt0092513,tt0113627
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0124298,tt0118688,tt0112697,tt0119086
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0102798,tt0115759,tt0124198,tt0108399
nm0000226	Will Smith	1968	\N	producer,actor,soundtrack	tt0098800,tt0120891,tt0480249,tt0119654
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0120008,tt0364343,tt0120032,tt0113819
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0169547,tt0114814,tt0119488,tt0114369
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0120815,tt0108052,tt0082971,tt0083866
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt0089927,tt0084602,tt3076658,tt0075148
nm0000231	Oliver Stone	1946	\N	producer,director,writer	tt0102138,tt0096969,tt0091763,tt0110632
nm0000232	Sharon Stone	1958	\N	actress,producer,soundtrack	tt0112641,tt0114214,tt0103772,tt0108162
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0110912,tt0116367,tt3460252,tt0105236
nm0000234	Charlize Theron	1975	\N	producer,actress,soundtrack	tt5610554,tt1735898,tt0340855,tt1392190
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0378194,tt0110912,tt0266697,tt0118688
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0115736,tt0144120,tt0109348,tt0387575
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0110912,tt0076666,tt0113161,tt0077631
nm0000239	Liv Tyler	1977	\N	actress,soundtrack,producer	tt0120737,tt0120591,tt0167260,tt0482606
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0117571,tt0115963,tt0409572,tt0913354
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0097659,tt0101764,tt0119013,tt1130988
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887,tt1637725,tt0964517,tt0118749
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt0139654,tt0168786,tt1037705,tt2671706
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0078748,tt0118583,tt0177789,tt0499549
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0093105,tt0119217,tt0107614,tt0265459
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0167404,tt0095016,tt0088571,tt0110912
nm0000247	John Woo	1946	\N	director,producer,writer	tt0092263,tt0119094,tt0104684,tt0425637
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0047127,tt0045826,tt0067479,tt0052077
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0119282,tt0120877,tt0086541,tt0159097
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0243155,tt0159365,tt0116695,tt0299658
nm0000251	Timothy Dowling	1973	\N	actor,writer,script_department	tt1596350,tt0181852,tt2120120,tt0430922
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0073114,tt0082933,tt0094828,tt0090095
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0840361,tt1024648,tt0119217
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0082010,tt0099253,tt0848228,tt0074812
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0068098,tt0097123,tt7653254,tt0082405
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt2224219,tt0080402,tt0083470,tt0076993
nm0000260	Joan Allen	1956	\N	actress,producer,soundtrack	tt0452608,tt0113987,tt0115988,tt3170832
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0088172,tt0082971,tt0367882,tt0077975
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0080661,tt0107978,tt0100502,tt0093870
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0157503,tt0114852,tt0097778,tt0084726
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt0287467,tt0101026,tt0095675,tt1189073
